States,Confirmed,Quarantined,Recovered,Death
Lagos,104286,1143,102372,771
FCT,29535,9,29277,249
Rivers,18112,-3,17960,155
Kaduna,11675,3,11583,89
Plateau,10365,4,10286,75
Oyo,10352,0,10150,202
Edo,7928,0,7606,322
Delta,5858,576,5170,112
Ogun,5810,11,5717,82
Kano,5429,11,5291,127
Ondo,5173,315,4749,109
Akwa Ibom,5010,6,4960,44
Kwara,4691,452,4175,64
Gombe,3313,8,3239,66
Osun,3311,29,3190,92
Enugu,2952,13,2910,29
Nasarawa,2853,469,2345,39
Anambra,2825,46,2760,19
Imo,2691,3,2630,58
Ekiti,2466,0,2438,28
Katsina,2418,0,2381,37
Benue,2317,88,2204,25
Abia,2263,0,2229,34
Ebonyi,2064,28,2004,32
Bauchi,2028,2,2002,24
Borno,1629,5,1580,44
Taraba,1517,32,1451,34
Bayelsa,1373,2,1343,28
Adamawa,1312,134,1140,38
Niger,1183,165,998,20
Cross River,947,0,922,25
Sokoto,822,0,794,28
Jigawa,669,2,649,18
Yobe,638,4,625,9
Kebbi,480,10,454,16
Zamfara,375,0,366,9
Kogi,5,0,3,2
